長谷川 秀彦 ( 2020年度: 筑波大学, 図書館情報メディア系, 教授 )= 0.0015274348263281802
保國 惠一 ( 2020年度: 筑波大学, システム情報系, 助教 )= 0.0015136189288363366
青沼 和隆 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.001506703400926977
木塚 朝博 ( 2020年度: 筑波大学, 体育系, 教授 )= 0.0015061945684730752
征矢 英昭 ( 2020年度: 筑波大学, 体育系, 教授 )= 0.001439786574833492
道喜 将太郎 ( 2020年度: 筑波大学, 医学医療系, 助教 )= 0.0014058444087671313
大井 雄一 ( 2020年度: 筑波大学, 医学医療系, 助教 )= 0.0014058444087671313
堀 大介 ( 2020年度: 筑波大学, 医学医療系, 助教 )= 0.001405844408767131
榎本 靖士 ( 2020年度: 筑波大学, 体育系, 准教授 )= 0.0013866000510212731
三輪 佳宏 ( 2020年度: 国立研究開発法人理化学研究所, バイオリソース研究センター, 室長 )= 0.0013823589588038917
村田 知弥 ( 2020年度: 筑波大学, 医学医療系, 助教 )= 0.0013757153257611945
森本 健弘 ( 2020年度: 筑波大学, 生命環境系, 講師 )= 0.0013579016253183092
萱場 桃子 ( 2020年度: 公益財団法人神経研究所, 研究部, 研究員 )= 0.0013398988915712892
森田 恵美 ( 2020年度: 国立研究開発法人森林研究・整備機構, 森林総合研究所, 主任研究員 等
2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 准教授 )= 0.0013398988915712892
山縣 邦弘 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.001326222650046919
清水 一彦 ( 2020年度: 山梨県立大学, 国際政策学部, 学長 )= 0.0013170740490216612
石井 夏生利 ( 2020年度: 中央大学, 国際情報学部, 教授 )= 0.0012591380154367946
松田 ひとみ ( 2020年度: 筑波大学, 医学医療系, 名誉教授 )= 0.001241751271681019
白木 仁 ( 2020年度: 筑波大学, 体育系, 教授 )= 0.0012126603097609488
照井 章 ( 2020年度: 筑波大学, 数理物質系, 准教授 )= 0.0011851234461984397
中務 孝 ( 2020年度: 筑波大学, 計算科学研究センター, 教授 )= 0.0011766210257026395
鈴木 陽子 ( 2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 研究員 )= 0.0011654073401499427
田名辺 陽子 ( 2020年度: 筑波大学, 体育系, 研究員 )= 0.0011654073401499427
下山 寛之 ( 2020年度: 筑波大学, 体育系, 助教 )= 0.0011654073401499427
大澤 義明 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.00116343346465715
松村 敦 ( 2020年度: 筑波大学, 図書館情報メディア系, 助教 )= 0.0011494575540778728
星野 准一 ( 2020年度: 筑波大学, システム情報系, 准教授 )= 0.0011376462399987181
西保 岳 ( 2020年度: 筑波大学, 体育系, 教授 )= 0.0011291657676756998
南雲 康行 ( 2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 助教 )= 0.0011280545499076165
市川 政雄 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0011225346733009943
田宮 菜奈子 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0011163868516965198
羽田 康司 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.001096111694228249
藤井 範久 ( 2020年度: 筑波大学, 体育系, 教授 )= 0.001095502019159532
北園 智弘 ( 2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 研究員 )= 0.001087105327828069
竹越 一博 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.001072086015898197
山海 嘉之 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.00106538126976811
吉瀬 章子 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.001064973963605931
行方 大輔 ( 2020年度: 国立研究開発法人理化学研究所, 計算科学研究センター, 研究員 )= 0.0010604650368901641
中本 泰史 ( 2020年度: 東京工業大学, 理学院, 教授 )= 0.0010604650368901641
村越 伸行 ( 2020年度: 筑波大学, 医学医療系, 准教授 )= 0.0010598178021769445
本間 三和子 ( 2020年度: 筑波大学, 体育系, 教授 )= 0.001052839994340586
照山 絢子 ( 2020年度: 筑波大学, 図書館情報メディア系, 助教 )= 0.0010499347111828394
大石 陽 ( 2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 助教 )= 0.0010483766172090314
高田 陽子 ( 2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 研究員 )= 0.0010483766172090314
矢野 博明 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.0010460202840265724
高松 薫 ( 2020年度: 筑波大学, 体育系(名誉教授), 名誉教授 )= 0.0010406586516736166
福田 崇 ( 2020年度: 筑波大学, 体育系, 准教授 )= 0.0010340153979514143
林 純一 ( 2020年度: 筑波大学, 生命環境系(名誉教授), 名誉教授 )= 0.0010227718283006633
中田 由夫 ( 2020年度: 筑波大学, 体育系, 准教授 )= 0.001019574568611456
八神 健一 ( 2020年度: 筑波大学, 医学医療系, 特命教授 )= 0.0010166779004311057
関 洋平 ( 2020年度: 筑波大学, 図書館情報メディア系, 准教授 )= 0.001015467470670465
