京藤 敏達 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.001181602183825468
秋山 英三 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.0011769448118712808
卯城 祐司 ( 2020年度: 筑波大学, 人文社会系, 教授 )= 0.001173384318734944
鈴木 英雄 ( 2020年度: 筑波大学, 医学医療系, 准教授 )= 0.001173299612622124
長崎 幸夫 ( 2020年度: 筑波大学, 数理物質系, 教授 )= 0.0011702917449468257
榎本 靖士 ( 2020年度: 筑波大学, 体育系, 准教授 )= 0.0011550254028794282
高橋 伸 ( 2020年度: 筑波大学, システム情報系, 准教授 )= 0.0011511714279022803
宮内 卓 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0011487356133901097
星野 准一 ( 2020年度: 筑波大学, システム情報系, 准教授 )= 0.0011434311143142084
谷口 陽子 ( 2020年度: 筑波大学, 人文社会系, 准教授 )= 0.001140677718154821
櫻井 鉄也 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.0011398381260328489
小野 道之 ( 2020年度: 筑波大学, 生命環境系, 准教授 )= 0.0011365303401749869
宮内 久絵 ( 2020年度: 筑波大学, 人間系, 助教 )= 0.0011361838275425898
岡 典子 ( 2020年度: 筑波大学, 人間系, 教授 )= 0.0011360322778762315
濱田 博文 ( 2020年度: 筑波大学, 人間系, 教授 )= 0.0011313730404830633
白木 賢太郎 ( 2020年度: 筑波大学, 数理物質系, 教授 )= 0.0011284144574930414
久野 誉人 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.0011240207814677042
波多野 澄雄 ( 2020年度: 筑波大学, 人文社会系(名誉教授), 名誉教授 )= 0.0011213353287589064
石崎 和宏 ( 2020年度: 筑波大学, 芸術系, 教授 )= 0.0011201677683855718
中村 潤児 ( 2020年度: 筑波大学, 数理物質系, 教授 )= 0.0011157471153741942
佐島 毅 ( 2020年度: 筑波大学, 人間系, 准教授 )= 0.001110803985991855
青木 貞雄 ( 2020年度: 筑波大学, 数理物質系(名誉教授), 名誉教授
2020年度: 一般財団法人総合科学研究機構(総合科学研究センター(総合科学研究室)及び中性子科学センター(研究開発, 総合科学研究センター, 主任研究員 )= 0.0011086566282361365
松井 豊 ( 2020年度: 筑波大学, 働く人への心理支援開発研究センター, 主幹研究員 )= 0.001105716166012511
宮崎 均 ( 2020年度: 筑波大学, 生命環境系, 教授 )= 0.0011020071500344986
清水 美憲 ( 2020年度: 筑波大学, 人間系, 教授 )= 0.0010977473574385463
竹内 光弘 ( 2020年度: 筑波大学, 数理物質系(名誉教授), 名誉教授 )= 0.0010968413370650294
小林 秀之 ( 2020年度: 筑波大学, 人間系, 准教授 )= 0.001094003189673535
山海 知子 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0010928333085286142
鍋山 隆弘 ( 2020年度: 筑波大学, 体育系, 准教授 )= 0.0010895232098925623
八神 健一 ( 2020年度: 筑波大学, 医学医療系, 特命教授 )= 0.0010884287216089681
坂本 昭裕 ( 2020年度: 筑波大学, 体育系, 教授 )= 0.0010874679541659775
箕輪 真理 ( 2020年度: 筑波大学, 人文社会系, 教授 )= 0.0010854253933822477
木越 英夫 ( 2020年度: 筑波大学, 数理物質系(副学長), 副学長 )= 0.0010839121660887892
五十殿 利治 ( 2020年度: 筑波大学, 芸術系(特命教授), 特命教授 )= 0.0010824644039014117
林 久喜 ( 2020年度: 筑波大学, 生命環境系, 教授 )= 0.001079666367313336
柴田 大輔 ( 2020年度: 筑波大学, 人文社会系, 准教授 )= 0.0010775622595635096
園山 繁樹 ( 2020年度: 島根県立大学, 人間文化学部, 教授 )= 0.001075156959068819
山縣 邦弘 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0010748299482577172
山田 永子 ( 2020年度: 筑波大学, 体育系, 助教 )= 0.0010715883396444064
森本 健弘 ( 2020年度: 筑波大学, 生命環境系, 講師 )= 0.0010693633764567835
松崎 一葉 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0010686741604036707
三盃 亜美 ( 2020年度: 筑波大学, 人間系, 助教 )= 0.0010685476231192086
上殿 明良 ( 2020年度: 筑波大学, 数理物質系, 教授 )= 0.0010677867237418122
井田 哲雄 ( 2020年度: 筑波大学, システム情報系(名誉教授), 名誉教授 )= 0.0010660396710118838
渋谷 彰 ( 2020年度: 筑波大学, 生存ダイナミクス研究センター, 教授 )= 0.0010654117639992988
名川 勝 ( 2020年度: 筑波大学, 人間系, 講師 )= 0.001060835371664755
野口 恵美子 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.001059619151968218
坪井 康次 ( 2020年度: 筑波大学, 医学医療系, 名誉教授 )= 0.0010581485246613919
岡本 嘉一 ( 2020年度: 筑波大学, 医学医療系, 講師 )= 0.0010461822074054104
松田 裕雄 ( 2020年度: 筑波大学, 体育系, 研究員
2020年度: 筑波大学, 高細精医療イノベーション研究コア, 客員准教授 )= 0.0010452148179394747
葛岡 英明 ( 2020年度: 東京大学, 大学院情報理工学系研究科, 教授 )= 0.0010440516352729636
片平 克弘 ( 2020年度: 筑波大学, 人間系, 教授 )= 0.0010437812708668066
村上 史明 ( 2020年度: 筑波大学, 芸術系, 助教 )= 0.001043104730403735
嵯峨 寿 ( 2020年度: 筑波大学, 体育系, 准教授 )= 0.0010430559777660335
鍋島 達弥 ( 2020年度: 筑波大学, 数理物質系, 教授 )= 0.001042328156366657
舛本 泰章 ( 2020年度: 筑波大学, 数理物質系(名誉教授), 名誉教授 )= 0.0010397917112904915
金谷 麻理子 ( 2020年度: 筑波大学, 体育系, 准教授 )= 0.0010387605334254849
杉江 征 ( 2020年度: 筑波大学, 人間系, 教授 )= 0.0010381216974296647
亀田 能成 ( 2020年度: 筑波大学, 計算科学研究センター, 教授 )= 0.0010343139494952672
吉田 健一 ( 2020年度: 筑波大学, ビジネスサイエンス系, 教授 )= 0.0010330861079614346
有田 智一 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.0010296288590678439
藤井 さやか ( 2020年度: 筑波大学, システム情報系, 准教授 )= 0.00102925745649409
竹中 佳彦 ( 2020年度: 筑波大学, 人文社会系, 教授 )= 0.0010244508958909718
宮下 憲 ( 2020年度: 筑波大学, 体育系(名誉教授), 名誉教授
2020年度: 帝京大学, 医療技術学部, 教授 )= 0.0010203890701212216
長洲 南海男 ( 2020年度: 筑波大学, 人間系(名誉教授), 名誉教授 )= 0.0010172099471182628
市村 真 ( 2020年度: 筑波大学, プラズマ研究センター, 研究員 )= 0.0010151425222512205
和田 茂樹 ( 2020年度: 筑波大学, 生命環境系, 助教 )= 0.0010150078372863673
林 みちこ ( 2020年度: 筑波大学, 芸術系, 准教授 )= 0.0010146183425966617
上北 恭史 ( 2020年度: 筑波大学, 芸術系, 教授 )= 0.001009928561816604
長崎 勤 ( 2020年度: 実践女子大学, 生活科学部, 教授 )= 0.0010075749367097267
池田 潤 ( 2020年度: 筑波大学, 人文社会系, 教授 )= 0.001007442355153012
