community 1 =
小原 直 : 2020年度: 筑波大学, 医学医療系, 教授
柴田 靖 : 2020年度: 筑波大学, 医学医療系, 教授
鈴木 久史 : 2020年度: 筑波大学, 医学医療系, 講師
内田 文彦 : 2020年度: 筑波大学, 附属病院, 病院講師
柳沢 裕美 : 2020年度: 筑波大学, 生存ダイナミクス研究センター, 教授
玉岡 晃 : 2020年度: 筑波大学, 医学医療系, 教授
福田 美香子 (広浜 美香子) : 2020年度: 筑波大学, 医学医療系, 研究員
松井 陽 : 2020年度: 国立研究開発法人国立成育医療研究センター, その他, 名誉院長
片岡 義裕 : 2020年度: 筑波大学, 医学医療系, 講師
野上 昭彦 : 2020年度: 筑波大学, 医学医療系, 教授
後藤 亮平 : 2020年度: 筑波大学, 医学医療系, 助教
酒井 俊 : 2020年度: 筑波技術大学, 保健科学部, 教授
渡邉 大貴 : 2020年度: 筑波大学, 医学医療系, 助教
坪井 康次 : 2020年度: 筑波大学, 医学医療系, 名誉教授
渋谷 陽一郎 : 2020年度: 筑波大学, 医学医療系, 講師
森川 一也 : 2020年度: 筑波大学, 医学医療系, 教授
樋之津 淳子 : 2020年度: 札幌市立大学, 看護学部, 教授
水本 斉志 : 2020年度: 筑波大学, 医学医療系, 准教授
松村 明 : 2020年度: 筑波大学, 医学医療系, 教授
2020年度: 茨城県立医療大学, 未登録, 学長
小田原 雅人 : 2020年度: 東京医科大学, 医学部, 教授
土岐 浩介 : 2020年度: 筑波大学, 医学医療系, 准教授
角 大悟 : 2020年度: 徳島文理大学, 薬学部, 教授
大山 晃弘 : 2020年度: 筑波大学, 医学医療系, 研究員
水口 剛雄 : 2020年度: 筑波大学, 医学医療系, 准教授
春田 淳志 : 2020年度: 慶應義塾大学, 医学部(信濃町), 准教授
粟飯原 輝人 : 2020年度: 大阪医科大学, 医学部, 特別職務担当教員(専門教授)
吉田 文代 : 2020年度: 筑波大学, 医学医療系, 研究員
後藤 行延 : 2020年度: 筑波大学, 医学医療系, 講師
鶴淵 隆夫 : 2020年度: 筑波大学, 医学医療系, 講師
植田 琢也 : 2020年度: 東北大学, 医学系研究科, 教授
倉治 真夏 : 2020年度: 筑波大学, 医学医療系, 研究員
中居 康展 : 2020年度: 横浜市立脳卒中・神経脊椎センター(臨床研究部), 臨床研究部, 研究員
内田 克紀 : 2020年度: 国際医療福祉大学, 大学病院, 教授
奥村 敏之 : 2020年度: 筑波大学, 医学医療系, 准教授
大坂 基男 : 2020年度: 筑波大学, 医学医療系, 講師
井上 貴昭 : 2020年度: 筑波大学, 医学医療系, 教授
2020年度: 順天堂大学, 医学(系)研究科(研究院), 客員教授
大西 かよ子 : 2020年度: 国際医療福祉大学, 医学部, 教授
石川 仁 : 2020年度: 国立研究開発法人量子科学技術研究開発機構, QST病院, 副病院長(定常)
岡田 浩介 : 2020年度: 筑波大学, 附属病院, 病院講師
大庭 良介 : 2020年度: 筑波大学, 医学医療系, 准教授
清水 如代 : 2020年度: 筑波大学, 医学医療系, 准教授
久倉 勝治 : 2020年度: 筑波大学, 医学医療系, 講師
内田 和彦 : 2020年度: 筑波大学, 医学医療系, 准教授
羽田 康司 : 2020年度: 筑波大学, 医学医療系, 教授
星野 哲也 : 2020年度: 筑波大学, 附属病院, 病院講師
前野 哲博 : 2020年度: 筑波大学, 医学医療系, 教授
坂本 裕昭 : 2020年度: 筑波大学, 医学医療系, 准教授
