井村 仁 ( 2020年度: 筑波大学, 体育系, 名誉教授 )= 0.0009158042300790574
唐木 清志 ( 2020年度: 筑波大学, 人間系, 教授 )= 0.0009121236422482503
丸島 愛樹 ( 2020年度: 筑波大学, 医学医療系, 講師 )= 0.0009082348618491083
洪 性賛 ( 2020年度: 筑波大学, 体育系, 助教 )= 0.0009049224130765789
中塚 健太郎 ( 2020年度: 徳島大学, 大学院社会産業理工学研究部(社会総合科学域), 准教授 )= 0.0009047506017544698
京藤 敏達 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.0008889396971216012
國分 麻里 ( 2020年度: 筑波大学, 人間系, 准教授 )= 0.0008857384021535489
柳 久子 ( 2020年度: 筑波大学, 医学医療系, 准教授 )= 0.0008728383945539579
松井 崇 ( 2020年度: 筑波大学, 体育系, 助教 )= 0.0008657532976662966
甲斐 雄一郎 ( 2020年度: 筑波大学, 人間系, 教授 )= 0.0008475364492251238
星野 准一 ( 2020年度: 筑波大学, システム情報系, 准教授 )= 0.0008458527066905947
北原 格 ( 2020年度: 筑波大学, 計算科学研究センター, 教授 )= 0.000834458909571259
廣川 暢一 ( 2020年度: 筑波大学, システム情報系, 助教 )= 0.0008254582706385289
庄司 一子 ( 2020年度: 筑波大学, 人間系, 教授 )= 0.0008215895296804404
柿澤 敏文 ( 2020年度: 筑波大学, 人間系, 教授 )= 0.0008159213601944445
澁谷 長史 ( 2020年度: 筑波大学, システム情報系, 助教 )= 0.0007921590760001812
濱田 博文 ( 2020年度: 筑波大学, 人間系, 教授 )= 0.0007819711985127694
貝島 桃代 ( 2020年度: 筑波大学, 芸術系, 准教授 )= 0.0007799646326467192
林 純一 ( 2020年度: 筑波大学, 生命環境系(名誉教授), 名誉教授 )= 0.000778817970002765
渡部 厚一 ( 2020年度: 筑波大学, 体育系, 准教授 )= 0.0007780506333410419
宮内 卓 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0007727917477330756
菊 幸一 ( 2020年度: 筑波大学, 体育系, 教授 )= 0.0007710945176468522
花里 俊廣 ( 2020年度: 筑波大学, 芸術系, 教授 )= 0.0007694599283972279
卯城 祐司 ( 2020年度: 筑波大学, 人文社会系, 教授 )= 0.000767276218334101
入鹿山 容子 ( 2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 研究員 )= 0.0007638513940849405
清水 美憲 ( 2020年度: 筑波大学, 人間系, 教授 )= 0.0007528550944390854
田中 マリア ( 2020年度: 筑波大学, 人間系, 准教授 )= 0.0007503601073238691
鈴木 陽子 ( 2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 研究員 )= 0.0007494524180082238
田名辺 陽子 ( 2020年度: 筑波大学, 体育系, 研究員 )= 0.0007494524180082238
下山 寛之 ( 2020年度: 筑波大学, 体育系, 助教 )= 0.0007494524180082238
山中 敏正 ( 2020年度: 筑波大学, 芸術系, 教授 )= 0.0007411219711758734
大庭 一郎 ( 2020年度: 筑波大学, 図書館情報メディア系, 講師 )= 0.0007393675471509744
グレニエ フランソワ ( 2020年度: 筑波大学, 体育系, 研究員 )= 0.0007375330677093098
片平 克弘 ( 2020年度: 筑波大学, 人間系, 教授 )= 0.0007339894894505114
橋本 剛 ( 2020年度: 筑波大学, 芸術系, 准教授 )= 0.0007200339565146793
目崎 登 ( 2020年度: 筑波大学, 体育系(名誉教授), 名誉教授 )= 0.0007122948305259359
新井 哲明 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0007057883826839368
樋口 直宏 ( 2020年度: 筑波大学, 人間系, 教授 )= 0.0007038455199454398
雨宮 怜 ( 2020年度: 筑波大学, 体育系, 特任助教 )= 0.0007012376687721329
岩田 洋夫 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.0006994165127639974
田宮 菜奈子 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0006918524170566842
蒔苗 直道 ( 2020年度: 筑波大学, 人間系, 准教授 )= 0.0006906520119095287
伊藤 誠 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.0006905234844761511
藤井 直人 ( 2020年度: 筑波大学, 体育系, 助教 )= 0.0006793585244482024
