赤平 昌文 ( 2020年度: 筑波大学, 数理物質系(名誉教授), 名誉教授 )= 0.0008903524432563904
綾部 早穂 ( 2020年度: 筑波大学, 人間系, 教授 )= 0.000886365344300434
麻見 直美 ( 2020年度: 筑波大学, 体育系, 准教授 )= 0.0008853952501996176
山下 亜紀郎 ( 2020年度: 筑波大学, 生命環境系, 助教 )= 0.0008748437271473776
矢澤 真人 ( 2020年度: 筑波大学, 人文社会系, 教授 )= 0.0008722970416747925
水本 斉志 ( 2020年度: 筑波大学, 医学医療系, 准教授 )= 0.0008666804238915655
木村 武史 ( 2020年度: 筑波大学, 人文社会系, 教授 )= 0.0008610822150269275
照沼 利之 ( 2020年度: 筑波大学, 医学医療系, 助手 )= 0.0008462900117100173
三好 千香 ( 2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 助教 )= 0.0008185565400176425
矢花 一浩 ( 2020年度: 筑波大学, 計算科学研究センター, 教授 )= 0.0008078584725026419
高橋 伸 ( 2020年度: 筑波大学, システム情報系, 准教授 )= 0.000804296838250892
林 誠 ( 2020年度: 筑波大学, 生存ダイナミクス研究センター, 助教 )= 0.0008013768759101061
青沼 和隆 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.000796428824636392
池田 潤 ( 2020年度: 筑波大学, 人文社会系, 教授 )= 0.0007943142970284338
若林 誠一郎 ( 2020年度: 筑波大学, 数理物質系(名誉教授), 名誉教授 )= 0.0007913934756886508
伏見 卓恭 ( 2020年度: 東京工科大学, コンピュータサイエンス学部, 助教 )= 0.0007856885355915388
繁野 麻衣子 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.0007672477179419666
原田 悦子 ( 2020年度: 筑波大学, 人間系, 教授 )= 0.0007614078115537663
金 尚泰 ( 2020年度: 筑波大学, 図書館情報メディア系, 准教授 )= 0.0007569599125396599
筧 知之 ( 2020年度: 筑波大学, 数理物質系, 教授 )= 0.0007309814457309512
笹原 信一朗 ( 2020年度: 筑波大学, 医学医療系, 准教授 )= 0.0007154621126263973
渡辺 俊 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.0007126220171523109
杉山 文博 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0007116535284743256
岩田 洋夫 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.0007109377670116978
山本 早里 ( 2020年度: 筑波大学, 芸術系, 教授 )= 0.0007108038878033805
市川 政雄 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.000710476608493104
