河野 禎之 ( 2020年度: 筑波大学, 人間系, 助教 )= 0.0014516566174429435
山中 克夫 ( 2020年度: 筑波大学, 人間系, 准教授 )= 0.0014516566174429435
杉本 重雄 ( 2020年度: 筑波大学, 図書館情報メディア系, 名誉教授 )= 0.0014315814321437443
増田 美砂 ( 2020年度: 筑波大学, 生命環境系, 教授 )= 0.001427860379677095
吉川 耕司 ( 2020年度: 筑波大学, 計算科学研究センター, 講師 )= 0.0014251383372178618
山口 惠里子 ( 2020年度: 筑波大学, 人文社会系, 教授 )= 0.0014061296534853959
水野 裕史 ( 2020年度: 筑波大学, 芸術系, 助教 )= 0.0014061296534853959
佐久間 淳 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.0013675122640853428
久野 譜也 ( 2020年度: 筑波大学, 体育系, 教授 )= 0.001352330287890536
市川 政雄 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0013523302878905357
糸井川 栄一 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.00134638390460472
村尾 修 ( 2020年度: 東北大学, 災害科学国際研究所, 教授 )= 0.00134638390460472
伊藤 誠 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.0013313042588770586
尾崎 繁 ( 2020年度: 目白大学, 保健医療学部, 教授 )= 0.0013197602368330682
野上 晴雄 ( 2020年度: 日本保健医療大学, 保健医療学部看護学科, 教授 )= 0.0013197602368330682
北村 豊 ( 2020年度: 筑波大学, 生命環境系, 教授 )= 0.0012984322558985582
木村 成伴 ( 2020年度: 筑波大学, システム情報系, 准教授 )= 0.0012810417153859249
吉田 雅敏 ( 2020年度: 公益社団法人都市住宅学会(都市住宅研究センター), 都市住宅研究センター, 研究員 )= 0.0012710757341337583
梶井 厚志 ( 2020年度: 関西学院大学, 経済学部, 教授 )= 0.0012710757341337583
畳谷 整克 ( 2020年度: 神戸大学, 経済学研究科, 教授 )= 0.001271075734133758
根本 清貴 ( 2020年度: 筑波大学, 医学医療系, 准教授
2020年度: 株式会社国際電気通信基礎技術研究所, 脳情報通信総合研究所, 研究員 )= 0.0012519392144728688
綾部 早穂 ( 2020年度: 筑波大学, 人間系, 教授 )= 0.0012378293695688262
佐伯 いく代 ( 2020年度: 筑波大学, 生命環境系, 准教授 )= 0.001237723854989887
斎藤 英俊 ( 2020年度: 京都女子大学, その他, 客員教授
2020年度: 京都女子大学, 家政学部, 客員教授 )= 0.0012221313867443338
平賀 あまな ( 2020年度: 東京工業大学, 環境・社会理工学院, 特任准教授
2020年度: サイバー大学, IT総合学部, 客員准教授 )= 0.0012221313867443338
石塚 成人 ( 2020年度: 筑波大学, 計算科学研究センター, 准教授 )= 0.0011894284878355684
藏増 嘉伸 ( 2020年度: 筑波大学, 計算科学研究センター, 教授 )= 0.0011894284878355684
古屋 秀樹 ( 2020年度: 東洋大学, 国際観光学部, 教授 )= 0.0011805511357118937
加藤 研 ( 2020年度: 筑波大学, 芸術系, 助教 )= 0.001170747760393177
